parCodigo,parSiglas,parDenominacion,parColor,rowid
3234,LISTA A PROTAGONISMO Y PA,LISTA A PROTAGONISMO Y PARTICIPACION                                                                ,92D050,234
3235,PROYECTO AGRARIO Y SOCIAL,PROYECTO AGRARIO Y SOCIAL (PAYS)                                                                    ,C5BE97,235
3237,RENOVACION Y FUTURO      ,RENOVACION Y FUTURO                                                                                 ,C0504D,236
3238,RENOVAR Y FORTALECER EL C,RENOVAR Y FORTALECER EL CAMBIO 1 A                                                                  ,96B4D8,237
3240,RENOVAR Y FORTALECER EL F,RENOVAR Y FORTALECER EL FRENTE A                                                                    ,00FFFF,238
3241,RENOVAR Y FORTALECER EL F,RENOVAR Y FORTALECER EL FRENTE A                                                                    ,D99795,239
3242,REPUBLICA DE LIBRES E IGU,REPUBLICA DE LIBRES E IGUALES                                                                       ,95B3D7,240
3243,LISTA F REPUBLICA DE LIBR,LISTA F REPUBLICA DE LIBRES E IGUALES                                                               ,990000,241
3244,LISTA F - REPUBLICA DE LI,LISTA F - REPUBLICA DE LIBRES E IGUALES                                                             ,6666FF,242
3245,ROJO PUNZO A 1           ,ROJO PUNZO A 1                                                                                      ,33CC33,243
3246,SALTA NOS UNE            ,SALTA NOS UNE                                                                                       ,414141,244
3247,SALTA PARA TODOS O       ,SALTA PARA TODOS O                                                                                  ,4BACC6,245
3248,SALTA POR LA IGUALDAD L  ,SALTA POR LA IGUALDAD L                                                                             ,96B4D8,246
3249,SALTA TRABAJA I          ,SALTA TRABAJA I                                                                                     ,75923C,247
3251,SEMBRANDO SOCIALISMO S   ,SEMBRANDO SOCIALISMO S                                                                              ,9933FF,248
3253,LISTA A SoB              ,LISTA A SoB                                                                                         ,993366,249
3255,TRICOLOR                 ,TRICOLOR                                                                                            ,CC3300,250
3256,PROTAGONISMO Y PARTICIPAC,PROTAGONISMO Y PARTICIPACION                                                                        ,CC0066,251
3257,U UNIDAD                 ,U UNIDAD                                                                                            ,F2DDDC,252
3258,LISTA A - POR TU SALARIO ,LISTA A - POR TU SALARIO                                                                            ,FDE9D9,253
3259,LISTA A - CAMINAMOS PREGU,LISTA A - CAMINAMOS PREGUNTANDO                                                                     ,D7E4BC,254
3260,LISTA A - LEALTAD        ,LISTA A - LEALTAD                                                                                   ,D7E4BC,255
3261,LISTA UNIDAD - 2 U       ,LISTA UNIDAD - 2 U                                                                                  ,00B050,256
3262,LISTA A - DIGNIDAD       ,LISTA A - DIGNIDAD                                                                                  ,F2DDDC,257
3263,UNIDAD BLANCA            ,UNIDAD BLANCA                                                                                       ,E46D0A,258
3264,LISTA 1A - RENOVAR Y FORT,LISTA 1A - RENOVAR Y FORTALECER EL FTE                                                              ,663300,259
3265,UNIDAD FORMOSEÑA         ,UNIDAD FORMOSEÑA                                                                                    ,663300,260
3266,UNIDAD PROGRESISTA       ,UNIDAD PROGRESISTA                                                                                  ,CCFFCC,261
3267,UNIDAD PROGRESISTA A     ,UNIDAD PROGRESISTA A                                                                                ,CCFF66,262
3268,LISTA  - UNIDAD 2 U      ,LISTA  - UNIDAD 2 U                                                                                 ,33CCCC,263
3270,UNIDAD TRICOLOR          ,UNIDAD TRICOLOR                                                                                     ,CCECFF,264
3271,UNIDAD 2 U               ,UNIDAD 2 U                                                                                          ,4D4D4D,265
3272,UNIDAD A                 ,UNIDAD A                                                                                            ,538ED5,266
3274,LETRA P - UNIDOS POR EL C,LETRA P - UNIDOS POR EL CAMBIO                                                                      ,FF99CC,267
3276,UNION PARA EL CAMBIO     ,UNION PARA EL CAMBIO                                                                                ,FFFF00,268
3278,UNION Y LIBERTAD         ,UNION Y LIBERTAD                                                                                    ,FF9933,269
3279,VAMOS POR SANTA CRUZ     ,VAMOS POR SANTA CRUZ                                                                                ,820000,270
3280,VERDE                    ,VERDE                                                                                               ,f6ccac,271
3281,VERDE A                  ,VERDE A                                                                                             ,808000,272
3282,FRENTE JUSTICIALISTA PARA,FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ,E10015,273
3283,50-ALTERNATIVA PROGRESIST,50-ALTERNATIVA PROGRESISTA POPULAR                                                                  ,F6EA41,274
3284,LISTA 69 A               ,LISTA 69 A                                                                                          ,A70465,275
3285,LISTA 68 UNIDAD          ,LISTA 68 UNIDAD                                                                                     ,090945,276
3286,A-UNION POR ENTRE RIOS   ,A-UNION POR ENTRE RIOS                                                                              ,CD00F9,277
3287,1 A COLOR ENTRERRIANO    ,1 A COLOR ENTRERRIANO                                                                               ,0C0074,278
3300,LISTA V - HASTA LA VICTOR,LISTA V - HASTA LA VICTORIA SIEMPRE                                                                 ,17375D,279
3301,LISTA SoB A              ,LISTA SoB A                                                                                         ,FFFF00,280
3302,LISTA COMPROMISO FEDERAL ,LISTA COMPROMISO FEDERAL A                                                                          ,CCCC00,281
3303,LISTA UNIDAD A           ,LISTA UNIDAD A                                                                                      ,CCC0DA,282
3304,LISTA A - FRENTE PARA LA ,LISTA A - FRENTE PARA LA VICTORIA RIOJANO                                                           ,92D050,283
3305,LISTA A - FUERZA CIVICA R,LISTA A - FUERZA CIVICA RIOJANA                                                                     ,dedede,284
3306,LISTA UNIDAD - U         ,LISTA UNIDAD - U                                                                                    ,B8CCE4,285
3307,FRENTE TERCERA POSICION A,FRENTE TERCERA POSICION A                                                                           ,CCC0DA,286
3308,FRENTE AMPLIO PODEMOS A  ,FRENTE AMPLIO PODEMOS A                                                                             ,E6B9B8,287
3309,FRENTE CIVICO Y SOCIAL A ,FRENTE CIVICO Y SOCIAL A                                                                            ,92D050,288
3310,FRENTE CIVICO Y SOCIAL B ,FRENTE CIVICO Y SOCIAL B                                                                            ,C5BE97,289
3311,MOVIMIENTO SOCIALISTA DE ,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES A                                                         ,C0504D,290
3312,PARTIDO OBRERO A         ,PARTIDO OBRERO A                                                                                    ,96B4D8,291
3313,LISTA A FTP              ,LISTA A FTP                                                                                         ,00FFFF,292
3314,LISTA A FPV              ,LISTA A FPV                                                                                         ,D99795,293
3315,LISTA A FCS              ,LISTA A FCS                                                                                         ,95B3D7,294
3316,LISTA B FCS              ,LISTA B FCS                                                                                         ,990000,295
3317,LISTA MST                ,LISTA MST                                                                                           ,6666FF,296
3318,LISTA MLSUR              ,LISTA MLSUR                                                                                         ,33CC33,297
3319,LISTA GEN                ,LISTA GEN                                                                                           ,414141,298
3320,LISTA P OBRERO           ,LISTA P OBRERO                                                                                      ,4BACC6,299
3321,LISTA IE                 ,LISTA IE                                                                                            ,96B4D8,300
3322,LISTA U - PROTAGONISMO Y ,LISTA U - PROTAGONISMO Y PARTICIPACION                                                              ,75923C,301
3323,LISTA A - TRABAJANDO PARA,LISTA A - TRABAJANDO PARA CONSTRUIR LA T.D.F.                                                       ,9933FF,302
3324,LISTA A - LA PROVINCIA SO,LISTA A - LA PROVINCIA SOMOS TODOS                                                                  ,993366,303
3325,LISTA A - COLOR ROJO     ,LISTA A - COLOR ROJO                                                                                ,CC3300,304
3326,LISTA W - COLOR AZUL     ,LISTA W - COLOR AZUL                                                                                ,CC0066,305
3327,LISTA U - UNIDAD         ,LISTA U - UNIDAD                                                                                    ,F2DDDC,306
3350,503 A UNIDOS POR UNA NUEV,503 A UNIDOS POR UNA NUEVA ALTERNATIVA                                                              ,FBECCD,307
3351,50 ALTERNATIVA PROGRESIST,50 ALTERNATIVA PROGRESISTA POPULAR                                                                  ,A7E583,308
3352,68 LISTA UNIDAD          ,68 LISTA UNIDAD                                                                                     ,F8D3AC,309
3353,2 FRENTE JUSTICIALISTA PA,2 FRENTE JUSTICIALISTA PARA LA VICTORIA                                                             ,D58362,310
3354,LISTA 502 A UNION POR ENT,LISTA 502 A UNION POR ENTRE RIOS                                                                    ,ABC90C,311
3355,LISTA 502 C              ,LISTA 502 C                                                                                         ,331515,312
3356,322 GESTION Y COMPROMISO ,322 GESTION Y COMPROMISO DEPARTAMENTAL                                                              ,04FDBF,313
3357,LISTA 502 B              ,LISTA 502 B                                                                                         ,C8C8EC,314
3358,127 SE VIENE EL CAMBIO   ,127 SE VIENE EL CAMBIO                                                                              ,AE3315,315
3359,9 COMPROMISO SOCIAL      ,9 COMPROMISO SOCIAL                                                                                 ,7B7B33,316
3360,915 GUALEGUAY PUEDE      ,915 GUALEGUAY PUEDE                                                                                 ,66E148,317
3361,LISTA 502 B              ,LISTA 502 B                                                                                         ,567456,318
3362,LISTA 502 C              ,LISTA 502 C                                                                                         ,60C1F9,319
3363,LISTA 502 D              ,LISTA 502 D                                                                                         ,C9C9ED,320
3364,269 DESARROLLO Y PRODUCCI,269 DESARROLLO Y PRODUCCION                                                                         ,9FF866,321
3365,LISTA 503B UNA ENTRE RIOS,LISTA 503B UNA ENTRE RIOS                                                                           ,CC4815,322
3366,LISTA 503C UNA ENTRE RIOS,LISTA 503C UNA ENTRE RIOS                                                                           ,AE667B,323
3367,75 VIENTOS DE CAMBIO     ,75 VIENTOS DE CAMBIO                                                                                ,E14833,324
3368,402 SIGAMOS AVANZANDO    ,402 SIGAMOS AVANZANDO                                                                               ,00157B,325
3369,14 PARA VOLVER A CREER   ,14 PARA VOLVER A CREER                                                                              ,0811F1,326
