vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_mesCodigoCircuito,vot_mesCodigoMesa,vot_mesCodSexo,vot_parCodigo,ordenPartidos,votVotosPartido,votOrdenActa,rowid
04,001,112,0001 ,0043,X,0138,11,44,,486354
04,001,112,0001 ,0044,X,0013,1,0,,486355
04,001,112,0001 ,0044,X,0057,2,0,,486356
04,001,112,0001 ,0044,X,0081,3,1,,486357
04,001,112,0001 ,0044,X,0131,4,29,,486358
04,001,112,0001 ,0044,X,0132,5,11,,486359
04,001,112,0001 ,0044,X,0133,6,5,,486360
04,001,112,0001 ,0044,X,0134,7,3,,486361
04,001,112,0001 ,0044,X,0135,8,109,,486362
04,001,112,0001 ,0044,X,0136,9,0,,486363
04,001,112,0001 ,0044,X,0137,10,13,,486364
04,001,112,0001 ,0044,X,0138,11,50,,486365
04,001,112,0001 ,0045,X,0013,1,0,,486366
04,001,112,0001 ,0045,X,0057,2,0,,486367
04,001,112,0001 ,0045,X,0081,3,0,,486368
04,001,112,0001 ,0045,X,0131,4,31,,486369
04,001,112,0001 ,0045,X,0132,5,19,,486370
04,001,112,0001 ,0045,X,0133,6,2,,486371
04,001,112,0001 ,0045,X,0134,7,1,,486372
04,001,112,0001 ,0045,X,0135,8,115,,486373
04,001,112,0001 ,0045,X,0136,9,0,,486374
04,001,112,0001 ,0045,X,0137,10,9,,486375
04,001,112,0001 ,0045,X,0138,11,58,,486376
04,001,112,0001 ,0046,X,0013,1,0,,486377
04,001,112,0001 ,0046,X,0057,2,1,,486378
04,001,112,0001 ,0046,X,0081,3,0,,486379
04,001,112,0001 ,0046,X,0131,4,22,,486380
04,001,112,0001 ,0046,X,0132,5,23,,486381
04,001,112,0001 ,0046,X,0133,6,4,,486382
