Seccion,Circuito,Escuela,Direccion,votos,Mesa desde, Mesa hasta,Lat,Long
6,89,IPEM N°275 EX COLEGIO NACIONAL,S.DEL ESTERO 618,3796,4185,4199,-63.2427281098,-32.4197923245
1,8A,ESC EMILIO E SANCHEZ,BARRIENTOS Y HERRERA B°AMPL  PALMAR,2903,855,865,-64.1183667154,-31.3879727559
1,8B,ESC DEAN FUNES,ANA M JANER 1551  B°PUEYRREDON,2547,881,890,-64.1658820851,-31.3984379672
1,8B,ESC FRAY J A DE SAN ALBERTO,ESQUIU 1340 B°PUEYRREDON,1773,866,872,-64.1751385321,-31.4029138916
1,8B,ESC ROBLES,PADRE LUIS MONTI 1850  B°PUEYRREDON,3141,901,912,-64.1639786799,-31.399588358
1,8B,INST OBISPO CAIXAL,ANA M JANER 1250  B°PUEYRREDON,2070,873,880,-64.164585115,-31.4011506059
1,8B,INST SAGRADA FAMILIA,BUCHARDO 1729 B°  PUEYRREDON,2308,913,922,-64.1636054087,-31.4023403966
1,8B,INST SAGRADO CORAZON,ROMA 1153 B°PUEYRREDON,2572,891,900,-64.16742549,-31.4031409028
1,8C,ESC ALMIRANTE BROWN,SAN MARTIN S/N° B° YOFRE SUD,3417,935,947,-64.1376425908,-31.3923744923
1,8C,ESC TRINIDAD MORENO,E SAN MARTIN 1251 B°YOFRE  SUD,3189,923,934,-64.1373889533,-31.3950408126
6,90,ESC.BME.MITRE,MITRE 1147,2303,4251,4258,-63.2483574684,-32.4369324388
6,90,ESC.REP.DE BOLIVIA,D.FUNES 1250,499,4293,4296,-63.2505822332,-32.436888068
6,90,INSTITUTO INMAC.CONCEPCION,CABANILLAS 400,3616,4269,4281,-63.2460699624,-32.4361319298
7,91,ESC.PROV.FRAY M. ESQUIU,PUBLICA S/N,361,4297,4298,-64.2065994,-30.5951751
7,93,ESC.PROV.R. DE NICARAGUA,COPACABANA,254,4304,4304,-64.5573720564,-30.6157627281
7,94,ESC PROV GRAL M GUEMES,PUBLICA S/N,493,4305,4306,-64.6662511129,-30.4692421641
7,95,ESC.A.M.SOBRAL,SANTIAGO DEL ESTERO Y LAS  HERAS 0,2521,4347,4355,-64.3424379919,-30.4293134541
7,95,ESC.AMANDA SUAREZ CORDOBA,SANTA ROSA ESQ. AMADEO  SABATTINI 0,855,4356,4358,-64.3484045381,-30.4127540575
7,95,ESC.M.J.G.DE BELGRANO,JERONIMO L DE CABRERA L  ALGARROBO 451,2707,4316,4325,-64.3623372515,-30.4148137644
7,95,ESC.PEDRO N.ARIAS,CORDOBA 87,3039,4326,4336,-64.3557550956,-30.4237302806
7,95,ESC.PROV. M.MORENO,DORREGO OBRAS SANITARIA  326,2734,4337,4346,-64.3495477794,-30.4278439466
7,95,ESC.PROV.GRAL SAN MARTIN,DEAN FUNES,2490,4307,4315,-64.3491235072,-30.4200085392
7,97,ESCUELA FERNANDO FADER,PUBLICA S/N,58,4361,4361,-64.3653715702,-30.5800311338
7,98,ESCUELA FRAY GUILLERMO BUTLER,PUBLICA S/N,49,4362,4362,-64.538726844,-30.4094967249
7,99,ESC.CIUDAD DE BS.AIRES,QUILINO ESTACION,1573,4363,4368,-64.4946300001,-30.2171199964
7,99,ESC.PROV.M.BELGRANO,QUILINO ESTACION,1537,4369,4374,-64.4946300001,-30.2171199964
1,9A,COL PQUIAL C NAMUNCURA,CIUDAD DEL BARCO 3315 LA  FRANC,2143,973,980,-64.2093381582,-31.3741736314
1,9A,ESC MAHATMA GANDHI,TALAVERA DE MADRID 3261  B°LA FRANCE,1591,966,972,-64.2078432908,-31.3743149938
1,9B,ESC CONGRESO DE TUCUMAN,MALVINO 2772 B°LAS  MARGARITAS,1587,989,994,-64.212251169,-31.3769011235
1,9B,ESC MIGUEL RODRIGUEZ DE LA TOR,LA GRANJA 3199 B°ALTO VERDE,2643,995,1004,-64.220909068,-31.3717393407
1,9B,ESC RICARDO ROJAS,J.LOPEZ 2050 B°ALTOS DE V  CABRER,2118,981,988,-64.2222700835,-31.382866056
1,9C,COLEGIO FERMIN LAFITTE,FCO VALLE 2443 B°LOS  PARAISOS,2621,1015,1024,-64.1957343322,-31.3847688773
1,9C,ESC DE COMERCIO J J PASO,PLATON 3030 B°LOS PARAISO,2581,1005,1014,-64.2002869285,-31.3775346135
