0693;ACCION PINAMARENSE-AP                             ;ACCION PINAMARENSE-AP                                                                               ;
0697;ACCION POR VILLARINO                              ;ACCION POR VILLARINO                                                                                ;
0703;ENCUENTRO POR ROJAS                               ;ENCUENTRO POR ROJAS                                                                                 ;
0705;CON VOCACION POR SAN ISIDRO                       ;CON VOCACION POR SAN ISIDRO                                                                         ;
0734;VIENTOS DEL SUR-VISUR                             ;VIENTOS DEL SUR-VISUR                                                                               ;
0737;PROPUESTA PINAMAR-PROPIN                          ;PROPUESTA PINAMAR-PROPIN                                                                            ;
0739;JUNTOS POR DORREGO                                ;JUNTOS POR DORREGO                                                                                  ;
0742;AGRUPACION VECINAL UNION POR MORON                ;AGRUPACION VECINAL UNION POR MORON                                                                  ;
0748;CRECER                                            ;CRECER                                                                                              ;
0750;TODOS VECINOS                                     ;TODOS VECINOS                                                                                       ;
0754;UNION DEL PUEBLO LA PLATA                         ;UNION DEL PUEBLO LA PLATA                                                                           ;
0758;UNA NUEVA OPORTUNIDAD SUARENSE-UNOS               ;UNA NUEVA OPORTUNIDAD SUARENSE-UNOS                                                                 ;
0768;CAUSA POPULAR BRANDSEN                            ;CAUSA POPULAR BRANDSEN                                                                              ;
0769;MIRADA AMPLIA REGIONAL                            ;MIRADA AMPLIA REGIONAL                                                                              ;
0774;VECINOS EN ACCION PINAMAR-VENAP                   ;VECINOS EN ACCION PINAMAR-VENAP                                                                     ;
0777;AGR.MUNICIPAL DE INT.PACEÑA                       ;AGR.MUNICIPAL DE INT.PACEÑA                                                                         ;
0782;UNIDAD PACEÑA                                     ;UNIDAD PACEÑA                                                                                       ;
0787;SOMOS RODRIGUEZ                                   ;SOMOS RODRIGUEZ                                                                                     ;
0789;ACUERDO CIUDADANO X TRENQUE LAUQUEN               ;ACUERDO CIUDADANO X TRENQUE LAUQUEN                                                                 ;
0792;UNION VECINAL SALLIQUELO                          ;UNION VECINAL SALLIQUELO                                                                            ;
0794;VAMOS                                             ;VAMOS                                                                                               ;
0799;UNIDOS POR NECOCHEA                               ;UNIDOS POR NECOCHEA                                                                                 ;
0803;FRENTE MXC                                        ;FRENTE MXC                                                                                          ;
0821;JUNTOS POR SAN JUAN                               ;JUNTOS POR SAN JUAN                                                                                 ;
0900;FRENTE RENOVADOR DE LA CONCORDIA FTE PARA LA VICT ;FRENTE RENOVADOR DE LA CONCORDIA FTE PARA LA VICTORIA                                               ;
0901;FRENTE POPULAR - DE LOS RIOS LIBRES, LAS CHACRAS  ;FRENTE POPULAR - DE LOS RIOS LIBRES, LAS CHACRAS Y EL TRABAJO                                       ;
0902;PROYECTO AGRARIO Y SOCIAL PAYS                    ;PROYECTO AGRARIO Y SOCIAL PAYS                                                                      ;
0903;VAMOS JUNTOS                                      ;VAMOS JUNTOS                                                                                        ;
0905;FRENTE CIVICO Y SOCIAL                            ;FRENTE CIVICO Y SOCIAL                                                                              ;
0906;UNIDOS POR UNA NUEVA ALTERNATIVA                  ;UNIDOS POR UNA NUEVA ALTERNATIVA                                                                    ;
0907;FRENTE UNIDOS UNA                                 ;FRENTE UNIDOS UNA                                                                                   ;
1806;ALIANZA FRENTE MARPLATENSE                        ;ALIANZA FRENTE MARPLATENSE                                                                          ;
3001;17 DE OCTUBRE - LAS HERAS                         ;17 DE OCTUBRE - LAS HERAS                                                                           ;
3002;1ª OPCION PARA LOS JOVENES - LAS HERAS            ;1ª OPCION PARA LOS JOVENES - LAS HERAS                                                              ;
3003;28 PARA TODOS - 28 DE NOVIEMBRE                   ;28 PARA TODOS - 28 DE NOVIEMBRE                                                                     ;
3004;28 SOMOS TODOS - 28 DE NOVIEMBRE                  ;28 SOMOS TODOS - 28 DE NOVIEMBRE                                                                    ;
3005;ABANDERADA DE LOS HUMILDES - 28 DE NOVIMBRE       ;ABANDERADA DE LOS HUMILDES - 28 DE NOVIMBRE                                                         ;
3006;ACEPTA EL DESAFIO - PROVINCIAL                    ;ACEPTA EL DESAFIO - PROVINCIAL                                                                      ;
3007;ACEPTA EL DESAFIO - RIO GALLEGOS                  ;ACEPTA EL DESAFIO - RIO GALLEGOS                                                                    ;
3008;AGRUPACION FRENTE ANTIGUENSE - LOS ANTIGUOS       ;AGRUPACION FRENTE ANTIGUENSE - LOS ANTIGUOS                                                         ;
3009;AHORA SI - RIO GALLEGOS                           ;AHORA SI - RIO GALLEGOS                                                                             ;
3010;AHORA SI VAMOS A CAMBIAR - 28 DE NOVIEMBRE        ;AHORA SI VAMOS A CAMBIAR - 28 DE NOVIEMBRE                                                          ;
3011;AHORA TRUNCADO - PICO TRUNCADO                    ;AHORA TRUNCADO - PICO TRUNCADO                                                                      ;
3012;ARRIBA RIO TURBIO - RIO TURBIO                    ;ARRIBA RIO TURBIO - RIO TURBIO                                                                      ;
3013;BASES PARA SEGUIR CONSTRUYENDO - CALETA OLIVIA    ;BASES PARA SEGUIR CONSTRUYENDO - CALETA OLIVIA                                                      ;
3014;CALAFATE AVANZA - EL CALAFATE                     ;CALAFATE AVANZA - EL CALAFATE                                                                       ;
3015;CALETA TIENE FUTURO - CALETA OLIVIA               ;CALETA TIENE FUTURO - CALETA OLIVIA                                                                 ;
3016;CALETA VA A VIVIR MEJOR - CALETA OLIVIA           ;CALETA VA A VIVIR MEJOR - CALETA OLIVIA                                                             ;
